execTime,withPCIE_time
5.86163,5.91229
5.90396,5.95431
5.95516,6.13856
5.8225,5.87253
5.96539,6.02384
5.84076,5.88866
6.02361,6.4279
5.84286,5.89223
5.94231,5.99291
5.86319,5.91156
5.84259,5.9026
5.90743,5.95834
5.92404,6.04093
5.84269,5.89231
5.84684,5.90792
5.84899,5.89674
5.90418,5.95413
5.97464,6.35711
6.018,6.38169
5.85026,5.9088
5.85105,5.90075
5.89687,5.95617
5.98931,6.04965
5.84333,5.89337
5.95963,6.37872
5.83388,5.88554
5.87529,5.92609
5.86936,5.9193
5.84563,5.96253
5.94191,6.29752
6.00682,6.16036
5.88239,5.93355
5.87374,5.9344
5.83979,5.89055
5.84888,5.90815
5.94693,6.06518
6.00536,6.05662
6.00287,6.4135
5.84282,5.89068
5.84979,5.89814
5.84376,5.89185
5.8884,5.93647
5.82398,5.87312
5.95123,6.12449
5.84882,5.89803
5.86447,5.91409
5.90016,5.94821
5.91455,5.97044
5.98192,6.03254
5.90553,6.26624
5.98751,6.18405
6.02739,6.21996
5.94327,6.35189
5.85742,5.90713
5.9257,5.98154
6.05155,6.5113
5.96359,6.02708
5.83127,5.88928
5.84359,5.89266
5.84733,5.90415
5.99296,6.04376
5.85901,5.90837
5.83198,5.88189
5.85105,5.9004
5.83684,5.897
6.02046,6.0706
5.95272,6.00784
5.84861,5.89838
5.84959,5.90787
5.85393,5.90305
6.02093,6.07322
5.85926,5.90793
5.91932,5.9811
5.84733,5.89823
5.88004,6.14036
5.99596,6.26699
5.92322,5.98331
5.86073,5.91424
5.84131,5.89041
5.85059,5.90053
5.89581,5.94535
5.83131,5.88367
6.03888,6.43061
5.83886,5.888
5.93937,5.98894
5.89085,5.94521
5.85504,5.90871
5.85134,5.98516
5.85207,5.9017
5.90327,5.96537
6.00014,6.12526
5.89016,6.07097
6.01663,6.47687
5.82561,5.8749
5.8372,5.89614
5.90618,5.96399
6.03635,6.43801
5.84266,5.89187
5.8294,5.87822
5.85175,5.90232
