exec_time,write_time,read_time
0.0187479,0.042533,0.0668209
0.0187565,0.0400223,0.0240509
0.0187592,0.0402948,0.0262663
0.0187415,0.0395955,0.0242676
0.0187498,0.0384232,0.022917
0.0187477,0.0475463,0.0391323
0.018761,0.0453134,0.0420736
0.0187456,0.046938,0.0396949
0.0187556,0.0453248,0.0337351
0.0187306,0.042491,0.0261278
0.0187418,0.047591,0.041237
0.0187695,0.0466774,0.0390472
0.0187501,0.0452297,0.0303404
0.0187389,0.0432378,0.02545
0.0187356,0.0484589,0.0418841
0.0187474,0.0467468,0.0428156
0.0187492,0.0442536,0.0308703
0.0187555,0.0433005,0.0270093
0.0187761,0.170593,0.106276
0.0187381,0.247592,0.0351091
0.0187418,0.0427533,0.026965
0.0187519,0.0482058,0.042524
0.0187482,0.0459736,0.0335346
0.0187435,0.328029,0.0856985
0.0187479,0.114036,0.0844298
0.0187423,0.254049,0.0258175
0.0187373,0.0429722,0.0267207
0.01874,0.113403,0.0889716
0.0187459,0.247589,0.025669
0.0187423,0.264092,0.0299627
0.0187469,0.0417387,0.0264094
0.0187439,0.043361,0.0259395
0.0187548,0.114759,0.0845141
0.0187408,0.0429665,0.0348611
0.0187758,0.0427312,0.0345386
0.0187431,0.0409518,0.0313863
0.0187723,0.041378,0.0276268
0.018745,0.0409589,0.0277615
0.0187729,0.0485918,0.0429071
0.0187838,0.0445585,0.033866
0.0187441,0.0619206,0.0345474
0.018751,0.254438,0.027172
0.018737,0.0437949,0.0261526
0.0187763,0.111602,0.0841059
0.0187387,0.251069,0.0254557
0.0187552,0.0440751,0.0270739
0.018746,0.0430179,0.0274205
0.0187732,0.112895,0.0849044
0.018796,0.0451911,0.0242619
0.0187327,0.249047,0.0260136
